"msoa21_code","ltla21_code","SoVI_standardised","wildfire_risk_summer_standardised","is_worst_deciles"
"E02000001","E09000001",0.468071305566534,-0.898294935929353,NA
"E02000002","E09000002",2.21497380906156,1.39666190677502,"yes"
"E02000003","E09000002",0.440243557001426,1.39666190677502,"yes"
"E02000004","E09000002",0.555791626162494,3.05013683681985,"yes"
"E02000005","E09000002",0.823534972831649,2.93953650705097,"yes"
"E02000007","E09000002",2.46623713071146,3.05013683681985,"yes"
"E02000008","E09000002",1.72201623085697,2.58008543530209,"yes"
"E02000009","E09000002",1.74992208732472,2.58008543530209,"yes"
"E02000010","E09000002",1.71755131692953,2.93953650705097,"yes"
"E02000011","E09000002",0.768530609450273,2.935849829392,"yes"
"E02000012","E09000002",-0.324129426587857,1.844593242339,NA
"E02000013","E09000002",1.82879386967756,2.13491910798232,"yes"
"E02000014","E09000002",1.59223184702792,2.42524497362565,"yes"
"E02000015","E09000002",2.86732164086717,2.5192552539292,"yes"
"E02000016","E09000002",1.86065831097046,0.602182871268523,"yes"
"E02000017","E09000002",-0.135942250460529,1.40956527858139,NA
"E02000018","E09000002",1.89521785210983,1.844593242339,"yes"
"E02000019","E09000002",1.86319271394077,1.68975278066256,"yes"
"E02000020","E09000002",1.45027709868978,1.46855212112479,"yes"
"E02000021","E09000002",1.55526466080841,1.91095344020033,"yes"
"E02000022","E09000002",3.08034952792086,-0.201512858385376,NA
"E02000023","E09000002",3.11045830646731,1.46855212112479,"yes"
"E02000024","E09000003",-0.148905386617439,0.210473370003721,NA
"E02000025","E09000003",0.554964200252047,0.102638048479058,NA
"E02000026","E09000003",-0.165187195147485,0.102638048479058,NA
"E02000027","E09000003",1.36050713230916,0.417848988320381,"yes"
"E02000028","E09000003",-0.0730282771415406,0.163468229851945,NA
"E02000029","E09000003",0.588207693149831,0.102638048479058,NA
"E02000030","E09000003",0.303672122190752,0.672229746788817,"yes"
"E02000031","E09000003",-0.272065756842888,0.102638048479058,NA
"E02000032","E09000003",-0.371732392657917,0.135818147409724,NA
"E02000033","E09000003",0.585697458929457,0.135818147409724,NA
"E02000034","E09000003",0.245690007108186,0.0556329083272822,NA
"E02000035","E09000003",-0.0655644021030657,-0.0245523307551597,NA
"E02000036","E09000003",0.295666384160103,1.22523139563324,"yes"
"E02000037","E09000003",-0.0889110670119458,1.20679800733843,NA
"E02000038","E09000003",0.316057650529813,0.00862776817550588,NA
"E02000039","E09000003",-0.39127857407481,0.0915780155021699,NA
"E02000040","E09000003",0.675657375926469,0.10448138730854,NA
"E02000041","E09000003",0.31978622799248,0.329368724505273,NA
"E02000042","E09000003",0.319511870539643,-0.212572891362265,NA
"E02000043","E09000003",-0.992011616016825,-0.0245523307551597,NA
